m,tau_s,allan_variance,allan_deviation,num_pairs,adev_std_approx
1,0.0100000000002183,1.2453922158257e-18,1.11597142249508e-09,999998,1.11597253846818e-12
2,0.0200000000004366,3.74846779916768e-19,6.12247319240164e-10,999996,6.12248543738476e-13
3,0.0300000000006548,1.9464421725333e-19,4.41185014765155e-10,999994,4.41186338326155e-13
4,0.0400000000008731,1.2497548227661e-19,3.53518715595949e-10,999992,3.53520129679296e-13
5,0.0500000000010914,9.00000691594402e-20,3.00000115265711e-10,999990,3.00001615277538e-13
6,0.0600000000013097,6.94898586536623e-20,2.6360929166792e-10,999988,2.63610873337905e-13
7,0.070000000001528,5.62201933311911e-20,2.37107978210753e-10,999986,2.37109637984029e-13
9,0.0900000000019645,4.02474890882811e-20,2.00617768625516e-10,999982,2.00619574209809e-13
10,0.100000000002183,3.51354175535818e-20,1.8744443857736e-10,999980,1.87446313049863e-13
12,0.120000000002619,2.78828177019273e-20,1.66981489099622e-10,999976,1.6698349291356e-13
14,0.140000000003056,2.30255424226032e-20,1.51741696387655e-10,999972,1.51743820816017e-13
16,0.160000000003492,1.95722943067167e-20,1.39901016103232e-10,999968,1.39903254573213e-13
19,0.190000000004147,1.59585370256154e-20,1.26327103289893e-10,999962,1.26329503573264e-13
22,0.220000000004802,1.34667695856064e-20,1.16046411343076e-10,999956,1.16048964448378e-13
26,0.260000000005675,1.11405011263116e-20,1.0554857235563e-10,999948,1.05551316725542e-13
30,0.300000000006548,9.48644766691982e-21,9.73983966342353e-11,999940,9.74013187176287e-14
35,0.35000000000764,7.9977266140142e-21,8.94300095829929e-11,999930,8.94331397976655e-14
41,0.410000000008949,6.72775864691889e-21,8.2022915376856e-11,999918,8.20262785232214e-14
48,0.480000000010477,5.68880655124728e-21,7.54241774979832e-11,999904,7.54277981191899e-14
56,0.560000000012224,4.85629163047923e-21,6.96870980202163e-11,999888,6.96910008255441e-14
65,0.650000000014188,4.17991358132883e-21,6.46522511698458e-11,999870,6.46564539759499e-14
76,0.760000000016589,3.57717979394839e-21,5.98095292904767e-11,999848,5.98140753329581e-14
88,0.880000000019209,3.09508699999846e-21,5.56335060911899e-11,999824,5.56384024860595e-14
103,1.03000000002248,2.65355954507882e-21,5.15127124608948e-11,999794,5.15180190901665e-14
120,1.20000000002619,2.28779205011199e-21,4.78308692176087e-11,999760,4.78366099552682e-14
140,1.40000000003056,1.97158352387469e-21,4.44025170894026e-11,999720,4.44087347475338e-14
164,1.6400000000358,1.69247997222193e-21,4.11397614507173e-11,999672,4.11465100317916e-14
191,1.91000000004169,1.45821679880612e-21,3.81866049656961e-11,999618,3.81939006975382e-14
223,2.23000000004868,1.25609461989502e-21,3.54414251955959e-11,999554,3.54493312780974e-14
260,2.60000000005675,1.08820705531814e-21,3.29879834988157e-11,999480,3.29965637209571e-14
304,3.04000000006636,9.46351133053527e-22,3.07628206290244e-11,999392,3.07721767931226e-14
355,3.55000000007749,8.27097513157233e-22,2.87593030714799e-11,999290,2.87695180638757e-14
414,4.14000000009037,7.2578956922329e-22,2.69404819783034e-11,999172,2.69516422688613e-14
483,4.83000000010543,6.35254173405691e-22,2.52042491141016e-11,999034,2.52164315933408e-14
564,5.64000000012311,5.54968981706066e-22,2.35577796429559e-11,998872,2.35710774817042e-14
658,6.58000000014363,4.87205082405291e-22,2.20727225870596e-11,998684,2.20872607893022e-14
768,7.68000000016764,4.29539075903748e-22,2.07253245065969e-11,998464,2.07412599157609e-14
896,8.96000000019558,3.82681937845192e-22,1.95622579945463e-11,998208,1.95798093702842e-14
1046,10.4600000002283,3.43801565862385e-22,1.85418867934842e-11,997908,1.85613120906805e-14
1221,12.2100000002665,3.11840066121551e-22,1.76589939158932e-11,997558,1.76805951181272e-14
1425,14.250000000311,2.85348809524739e-22,1.68922707036307e-11,997150,1.69163937646901e-14
1663,16.630000000363,2.64763741420737e-22,1.62715623534047e-11,996674,1.62986896494252e-14
1941,19.4100000004237,2.49744309891046e-22,1.58033006011733e-11,996118,1.58340644054884e-14
2265,22.6500000004944,2.39520155809499e-22,1.54764387314879e-11,995470,1.55116124130124e-14
2644,26.4400000005771,2.35327790191286e-22,1.53403973283382e-11,994712,1.53811189120325e-14
3085,30.8500000006734,2.35641303030513e-22,1.53506124643453e-11,993830,1.53981893795234e-14
3601,36.010000000786,2.39926068307102e-22,1.5489547065912e-11,992798,1.55456280286776e-14
4202,42.0200000009172,2.44867922391531e-22,1.56482562092883e-11,991596,1.57144275531878e-14
4904,49.0400000010704,2.48937944841055e-22,1.57777674225809e-11,990192,1.58557154506756e-14
5724,57.2400000012494,2.49238722415246e-22,1.5787296235114e-11,988552,1.58784460822684e-14
6680,66.8000000014581,2.46661699861644e-22,1.57054671965416e-11,986640,1.58114427829756e-14
7796,77.9600000017017,2.44841877513425e-22,1.56474239896995e-11,984408,1.57708566185354e-14
9099,90.9900000019861,2.45749378519078e-22,1.56763955844154e-11,981802,1.58210119247706e-14
10619,106.190000002318,2.53265120746361e-22,1.59143055376715e-11,978762,1.60860399125975e-14
12394,123.940000002705,2.69154275036136e-22,1.64059219502025e-11,975212,1.66131169664432e-14
14464,144.640000003157,2.91783122563819e-22,1.7081660415891e-11,971072,1.73342225441282e-14
16881,168.810000003685,3.18345574615126e-22,1.78422413002158e-11,966238,1.81512839967769e-14
19702,197.020000004301,3.47408478983184e-22,1.86388969357949e-11,960596,1.90173421414266e-14
22994,229.940000005019,3.77598577648314e-22,1.94318958840437e-11,954012,1.98947394635689e-14
26835,268.350000005858,4.07531067040353e-22,2.01873987190116e-11,946330,2.07519569013895e-14
31319,313.190000006836,4.36402056772357e-22,2.08902383129623e-11,937362,2.15769334765908e-14
36552,365.520000007979,4.7204637604953e-22,2.17266282715365e-11,926896,2.25671559417967e-14
42659,426.590000009312,5.16127097482668e-22,2.27184307882976e-11,914682,2.37543561760243e-14
49787,497.870000010867,5.79408824823236e-22,2.40709124219095e-11,900426,2.53669667320126e-14
58105,581.050000012683,6.74644561567784e-22,2.59739207969799e-11,883790,2.76288602857831e-14
67814,678.140000014802,8.0832366119694e-22,2.84310334176748e-11,864372,3.05803393693269e-14
79144,791.440000017275,9.75786604820343e-22,3.12375832102988e-11,841712,3.40483183242748e-14
92368,923.680000020162,1.18678529837198e-21,3.44497503383113e-11,815264,3.8153725092006e-14
107801,1078.01000002353,1.44386251014537e-21,3.79981908799007e-11,784398,4.29036934811958e-14
125813,1258.13000002746,1.77134776451932e-21,4.20873824859579e-11,748374,4.86510896115524e-14
146834,1468.34000003205,2.18584269819335e-21,4.67529966760779e-11,706332,5.56294814278755e-14
171367,1713.67000003741,2.61844403488229e-21,5.11707341639954e-11,657266,6.31176854086524e-14
200000,2000.00000004366,2.94768365289788e-21,5.42925745650166e-11,600000,7.00914123710112e-14
